,counts,speed,std,link
2015-01-02 13:10:00,0.0,,,123007
2015-01-02 13:15:00,1.0,72.0,,123007
2015-01-02 13:20:00,2.0,107.0,32.526911934581186,123007
2015-01-02 13:25:00,1.0,97.0,,123007
2015-01-02 13:30:00,1.0,93.0,,123007
2015-01-02 13:35:00,1.0,55.0,,123007
2015-01-02 13:40:00,0.0,,,123007
2015-01-02 13:45:00,2.0,89.0,26.870057685088806,123007
2015-01-02 13:50:00,1.0,94.0,,123007
2015-01-02 13:55:00,1.0,83.0,,123007
2015-01-02 14:00:00,2.0,105.5,24.748737341529164,123007
2015-01-02 14:05:00,1.0,97.0,,123007
2015-01-02 14:10:00,1.0,115.0,,123007
2015-01-02 14:15:00,3.0,105.66666666666667,6.350852961085884,123007
2015-01-02 14:20:00,1.0,125.0,,123007
2015-01-02 14:25:00,1.0,53.0,,123007
2015-01-02 14:30:00,1.0,106.0,,123007
2015-01-02 14:35:00,1.0,110.0,,123007
2015-01-02 14:40:00,2.0,94.0,5.656854249492381,123007
2015-01-02 14:45:00,3.0,99.0,8.888194417315589,123007
2015-01-02 14:50:00,1.0,114.0,,123007
2015-01-02 14:55:00,3.0,115.0,24.43358344574123,123007
2015-01-02 15:00:00,1.0,96.0,,123007
2015-01-02 15:05:00,1.0,112.0,,123007
2015-01-02 15:10:00,2.0,96.0,33.94112549695428,123007
2015-01-02 15:15:00,3.0,89.66666666666667,29.938826518975876,123007
2015-01-02 15:20:00,3.0,103.0,14.730919862656235,123007
2015-01-02 15:25:00,3.0,103.66666666666667,17.61628034896508,123007
2015-01-02 15:30:00,1.0,117.0,,123007
2015-01-02 15:35:00,3.0,85.66666666666667,22.23360819420306,123007
2015-01-02 15:40:00,0.0,,,123007
2015-01-02 15:45:00,1.0,132.0,,123007
2015-01-02 15:50:00,3.0,67.66666666666667,11.930353445448855,123007
2015-01-02 15:55:00,1.0,48.0,,123007
2015-01-02 16:00:00,2.0,99.0,14.142135623730951,123007
2015-01-02 16:05:00,0.0,,,123007
2015-01-02 16:10:00,0.0,,,123007
2015-01-02 16:15:00,1.0,81.0,,123007
2015-01-02 16:20:00,1.0,97.0,,123007
2015-01-02 16:25:00,2.0,75.5,12.020815280171307,123007
2015-01-02 16:30:00,0.0,,,123007
2015-01-02 16:35:00,2.0,54.5,68.58935777509511,123007
2015-01-02 16:40:00,1.0,115.0,,123007
2015-01-02 16:45:00,0.0,,,123007
2015-01-02 16:50:00,4.0,93.75,11.176612486199325,123007
2015-01-02 16:55:00,0.0,,,123007
2015-01-02 17:00:00,1.0,113.0,,123007
2015-01-02 17:05:00,2.0,78.0,2.8284271247461903,123007
2015-01-02 17:10:00,1.0,50.0,,123007
2015-01-02 17:15:00,0.0,,,123007
2015-01-02 17:20:00,2.0,85.5,6.363961030678928,123007
2015-01-02 17:25:00,4.0,81.0,26.47010892812243,123007
2015-01-02 17:30:00,2.0,65.0,21.213203435596427,123007
2015-01-02 17:35:00,3.0,85.66666666666667,12.50333288900737,123007
2015-01-02 17:40:00,2.0,95.0,2.8284271247461903,123007
2015-01-02 17:45:00,1.0,65.0,,123007
2015-01-02 17:50:00,0.0,,,123007
2015-01-02 17:55:00,0.0,,,123007
2015-01-02 18:00:00,3.0,81.33333333333333,12.220201853215574,123007
2015-01-02 18:05:00,1.0,95.0,,123007
2015-01-02 18:10:00,1.0,53.0,,123007
2015-01-02 18:15:00,1.0,107.0,,123007
2015-01-02 18:20:00,0.0,,,123007
2015-01-02 18:25:00,2.0,88.5,10.606601717798213,123007
2015-01-02 18:30:00,1.0,102.0,,123007
2015-01-02 18:35:00,0.0,,,123007
2015-01-02 18:40:00,4.0,97.0,21.908902300206645,123007
2015-01-02 18:45:00,3.0,61.666666666666664,10.785793124908958,123007
2015-01-02 18:50:00,1.0,111.0,,123007
2015-01-02 18:55:00,2.0,97.5,9.192388155425117,123007
2015-01-02 19:00:00,0.0,,,123007
2015-01-02 19:05:00,2.0,85.0,2.8284271247461903,123007
2015-01-02 19:10:00,1.0,85.0,,123007
2015-01-02 19:15:00,0.0,,,123007
2015-01-02 19:20:00,0.0,,,123007
2015-01-02 19:25:00,1.0,111.0,,123007
2015-01-02 19:30:00,0.0,,,123007
2015-01-02 19:35:00,0.0,,,123007
2015-01-02 19:40:00,1.0,139.0,,123007
2015-01-02 19:45:00,2.0,79.0,33.94112549695428,123007
2015-01-02 19:50:00,1.0,108.0,,123007
2015-01-02 19:55:00,5.0,74.6,15.836666315863322,123007
2015-01-02 20:00:00,0.0,,,123007
2015-01-02 20:05:00,0.0,,,123007
2015-01-02 20:10:00,1.0,119.0,,123007
2015-01-02 20:15:00,1.0,88.0,,123007
2015-01-02 20:20:00,1.0,86.0,,123007
2015-01-02 20:25:00,0.0,,,123007
2015-01-02 20:30:00,2.0,118.5,12.020815280171307,123007
2015-01-02 20:35:00,1.0,106.0,,123007
2015-01-02 20:40:00,1.0,96.0,,123007
2015-01-02 20:45:00,0.0,,,123007
2015-01-02 20:50:00,0.0,,,123007
2015-01-02 20:55:00,0.0,,,123007
2015-01-02 21:00:00,0.0,,,123007
2015-01-02 21:05:00,3.0,94.66666666666667,11.930353445448853,123007
2015-01-02 21:10:00,0.0,,,123007
2015-01-02 21:15:00,1.0,113.0,,123007
2015-01-02 21:20:00,0.0,,,123007
2015-01-02 21:25:00,0.0,,,123007
2015-01-02 21:30:00,0.0,,,123007
2015-01-02 21:35:00,0.0,,,123007
2015-01-02 21:40:00,0.0,,,123007
2015-01-02 21:45:00,3.0,123.66666666666667,9.814954576223636,123007
2015-01-02 21:50:00,1.0,111.0,,123007
2015-01-02 21:55:00,0.0,,,123007
2015-01-02 22:00:00,1.0,136.0,,123007
2015-01-02 22:05:00,0.0,,,123007
2015-01-02 22:10:00,0.0,,,123007
2015-01-02 22:15:00,0.0,,,123007
2015-01-02 22:20:00,0.0,,,123007
2015-01-02 22:25:00,0.0,,,123007
2015-01-02 22:30:00,0.0,,,123007
2015-01-02 22:35:00,0.0,,,123007
2015-01-02 22:40:00,0.0,,,123007
2015-01-02 22:45:00,1.0,127.0,,123007
2015-01-02 22:50:00,0.0,,,123007
2015-01-02 22:55:00,0.0,,,123007
2015-01-02 23:00:00,0.0,,,123007
2015-01-02 23:05:00,2.0,98.5,7.7781745930520225,123007
2015-01-02 23:10:00,0.0,,,123007
2015-01-02 23:15:00,1.0,163.0,,123007
2015-01-02 23:20:00,0.0,,,123007
2015-01-02 23:25:00,3.0,92.66666666666667,14.84362938547488,123007
2015-01-02 23:30:00,1.0,112.0,,123007
2015-01-02 23:35:00,0.0,,,123007
2015-01-02 23:40:00,0.0,,,123007
2015-01-02 23:45:00,1.0,121.0,,123007
2015-01-02 23:50:00,2.0,80.5,6.363961030678928,123007
2015-01-02 23:55:00,0.0,,,123007
2015-01-03 00:00:00,1.0,128.0,,123007
2015-01-03 00:05:00,0.0,,,123007
2015-01-03 00:10:00,0.0,,,123007
2015-01-03 00:15:00,0.0,,,123007
2015-01-03 00:20:00,0.0,,,123007
2015-01-03 00:25:00,0.0,,,123007
2015-01-03 00:30:00,1.0,102.0,,123007
2015-01-03 00:35:00,0.0,,,123007
2015-01-03 00:40:00,2.0,95.0,49.49747468305833,123007
2015-01-03 00:45:00,0.0,,,123007
2015-01-03 00:50:00,0.0,,,123007
2015-01-03 00:55:00,0.0,,,123007
2015-01-03 01:00:00,1.0,94.0,,123007
2015-01-03 01:05:00,1.0,91.0,,123007
2015-01-03 01:10:00,2.0,120.5,43.1335136523794,123007
2015-01-03 01:15:00,1.0,89.0,,123007
2015-01-03 01:20:00,0.0,,,123007
2015-01-03 01:25:00,2.0,91.5,20.506096654409877,123007
2015-01-03 01:30:00,0.0,,,123007
2015-01-03 01:35:00,0.0,,,123007
2015-01-03 01:40:00,0.0,,,123007
2015-01-03 01:45:00,0.0,,,123007
2015-01-03 01:50:00,1.0,114.0,,123007
2015-01-03 01:55:00,1.0,69.0,,123007
2015-01-03 02:00:00,0.0,,,123007
2015-01-03 02:05:00,0.0,,,123007
2015-01-03 02:10:00,0.0,,,123007
2015-01-03 02:15:00,1.0,154.0,,123007
2015-01-03 02:20:00,0.0,,,123007
2015-01-03 02:25:00,0.0,,,123007
2015-01-03 02:30:00,1.0,110.0,,123007
2015-01-03 02:35:00,0.0,,,123007
2015-01-03 02:40:00,0.0,,,123007
2015-01-03 02:45:00,0.0,,,123007
2015-01-03 02:50:00,0.0,,,123007
2015-01-03 02:55:00,1.0,106.0,,123007
2015-01-03 03:00:00,0.0,,,123007
2015-01-03 03:05:00,0.0,,,123007
2015-01-03 03:10:00,0.0,,,123007
2015-01-03 03:15:00,0.0,,,123007
2015-01-03 03:20:00,0.0,,,123007
2015-01-03 03:25:00,2.0,108.5,30.405591591021544,123007
2015-01-03 03:30:00,1.0,138.0,,123007
2015-01-03 03:35:00,0.0,,,123007
2015-01-03 03:40:00,0.0,,,123007
2015-01-03 03:45:00,0.0,,,123007
2015-01-03 03:50:00,0.0,,,123007
2015-01-03 03:55:00,0.0,,,123007
2015-01-03 04:00:00,0.0,,,123007
2015-01-03 04:05:00,0.0,,,123007
2015-01-03 04:10:00,0.0,,,123007
2015-01-03 04:15:00,0.0,,,123007
2015-01-03 04:20:00,0.0,,,123007
2015-01-03 04:25:00,0.0,,,123007
2015-01-03 04:30:00,0.0,,,123007
2015-01-03 04:35:00,1.0,144.0,,123007
2015-01-03 04:40:00,0.0,,,123007
2015-01-03 04:45:00,0.0,,,123007
2015-01-03 04:50:00,0.0,,,123007
2015-01-03 04:55:00,1.0,114.0,,123007
2015-01-03 05:00:00,2.0,82.0,1.4142135623730951,123007
2015-01-03 05:05:00,0.0,,,123007
2015-01-03 05:10:00,1.0,54.0,,123007
2015-01-03 05:15:00,0.0,,,123007
2015-01-03 05:20:00,1.0,78.0,,123007
2015-01-03 05:25:00,1.0,97.0,,123007
2015-01-03 05:30:00,1.0,70.0,,123007
2015-01-03 05:35:00,2.0,83.5,4.949747468305833,123007
2015-01-03 05:40:00,1.0,151.0,,123007
2015-01-03 05:45:00,1.0,87.0,,123007
2015-01-03 05:50:00,3.0,82.0,7.0,123007
2015-01-03 05:55:00,0.0,,,123007
2015-01-03 06:00:00,1.0,69.0,,123007
2015-01-03 06:05:00,0.0,,,123007
2015-01-03 06:10:00,1.0,112.0,,123007
2015-01-03 06:15:00,0.0,,,123007
2015-01-03 06:20:00,0.0,,,123007
2015-01-03 06:25:00,1.0,125.0,,123007
2015-01-03 06:30:00,1.0,100.0,,123007
2015-01-03 06:35:00,1.0,89.0,,123007
2015-01-03 06:40:00,0.0,,,123007
2015-01-03 06:45:00,0.0,,,123007
2015-01-03 06:50:00,1.0,145.0,,123007
2015-01-03 06:55:00,0.0,,,123007
2015-01-03 07:00:00,0.0,,,123007
2015-01-03 07:05:00,0.0,,,123007
2015-01-03 07:10:00,1.0,113.0,,123007
2015-01-03 07:15:00,2.0,96.5,2.1213203435596424,123007
2015-01-03 07:20:00,1.0,93.0,,123007
2015-01-03 07:25:00,0.0,,,123007
2015-01-03 07:30:00,2.0,109.0,31.11269837220809,123007
2015-01-03 07:35:00,0.0,,,123007
2015-01-03 07:40:00,2.0,130.5,9.192388155425117,123007
2015-01-03 07:45:00,0.0,,,123007
2015-01-03 07:50:00,2.0,85.5,10.606601717798213,123007
2015-01-03 07:55:00,0.0,,,123007
2015-01-03 08:00:00,2.0,100.0,42.42640687119285,123007
2015-01-03 08:05:00,0.0,,,123007
2015-01-03 08:10:00,0.0,,,123007
2015-01-03 08:15:00,3.0,83.0,5.0,123007
2015-01-03 08:20:00,2.0,126.5,10.606601717798213,123007
2015-01-03 08:25:00,2.0,106.0,2.8284271247461903,123007
2015-01-03 08:30:00,1.0,126.0,,123007
2015-01-03 08:35:00,2.0,106.0,8.48528137423857,123007
2015-01-03 08:40:00,0.0,,,123007
2015-01-03 08:45:00,2.0,100.0,38.18376618407357,123007
2015-01-03 08:50:00,1.0,69.0,,123007
2015-01-03 08:55:00,2.0,99.0,11.313708498984761,123007
2015-01-03 09:00:00,0.0,,,123007
2015-01-03 09:05:00,2.0,105.0,9.899494936611665,123007
2015-01-03 09:10:00,2.0,83.0,32.526911934581186,123007
2015-01-03 09:15:00,1.0,103.0,,123007
2015-01-03 09:20:00,0.0,,,123007
2015-01-03 09:25:00,2.0,92.5,0.7071067811865476,123007
2015-01-03 09:30:00,4.0,101.75,16.214705259938174,123007
2015-01-03 09:35:00,3.0,129.0,14.798648586948742,123007
2015-01-03 09:40:00,2.0,118.5,0.7071067811865476,123007
2015-01-03 09:45:00,1.0,87.0,,123007
2015-01-03 09:50:00,0.0,,,123007
2015-01-03 09:55:00,0.0,,,123007
2015-01-03 10:00:00,2.0,76.0,32.526911934581186,123007
2015-01-03 10:05:00,1.0,78.0,,123007
2015-01-03 10:10:00,1.0,103.0,,123007
2015-01-03 10:15:00,3.0,102.66666666666667,20.840665376454115,123007
2015-01-03 10:20:00,4.0,115.0,19.697715603592208,123007
2015-01-03 10:25:00,3.0,82.0,33.60059523282288,123007
2015-01-03 10:30:00,1.0,87.0,,123007
2015-01-03 10:35:00,1.0,100.0,,123007
2015-01-03 10:40:00,0.0,,,123007
2015-01-03 10:45:00,1.0,120.0,,123007
2015-01-03 10:50:00,1.0,91.0,,123007
2015-01-03 10:55:00,0.0,,,123007
2015-01-03 11:00:00,1.0,136.0,,123007
2015-01-03 11:05:00,2.0,120.0,2.8284271247461903,123007
2015-01-03 11:10:00,1.0,91.0,,123007
2015-01-03 11:15:00,1.0,70.0,,123007
2015-01-03 11:20:00,0.0,,,123007
2015-01-03 11:25:00,1.0,77.0,,123007
2015-01-03 11:30:00,2.0,102.5,13.435028842544403,123007
2015-01-03 11:35:00,2.0,84.5,21.920310216782973,123007
2015-01-03 11:40:00,2.0,104.0,45.254833995939045,123007
2015-01-03 11:45:00,0.0,,,123007
2015-01-03 11:50:00,1.0,114.0,,123007
2015-01-03 11:55:00,1.0,83.0,,123007
2015-01-03 12:00:00,10.0,89.0,10.603982480391243,123007
2015-01-03 12:05:00,1.0,94.0,,123007
2015-01-03 12:10:00,0.0,,,123007
2015-01-03 12:15:00,4.0,110.0,22.015146301277824,123007
2015-01-03 12:20:00,1.0,119.0,,123007
2015-01-03 12:25:00,0.0,,,123007
2015-01-03 12:30:00,1.0,54.0,,123007
2015-01-03 12:35:00,2.0,80.0,7.0710678118654755,123007
2015-01-03 12:40:00,1.0,95.0,,123007
2015-01-03 12:45:00,1.0,87.0,,123007
2015-01-03 12:50:00,0.0,,,123007
2015-01-03 12:55:00,2.0,80.0,15.556349186104045,123007
2015-01-03 13:00:00,2.0,121.0,5.656854249492381,123007
2015-01-03 13:05:00,0.0,,,123007
2015-01-03 13:10:00,1.0,131.0,,123007
2015-01-03 13:15:00,4.0,78.25,23.7679756535273,123007
2015-01-03 13:20:00,2.0,108.0,22.627416997969522,123007
2015-01-03 13:25:00,3.0,81.33333333333333,34.486712417006835,123007
2015-01-03 13:30:00,1.0,80.0,,123007
2015-01-03 13:35:00,0.0,,,123007
2015-01-03 13:40:00,2.0,82.5,6.363961030678928,123007
2015-01-03 13:45:00,4.0,93.25,18.997806890972093,123007
2015-01-03 13:50:00,1.0,112.0,,123007
2015-01-03 13:55:00,2.0,78.5,58.68986283848344,123007
2015-01-03 14:00:00,1.0,98.0,,123007
2015-01-03 14:05:00,0.0,,,123007
2015-01-03 14:10:00,2.0,100.5,28.991378028648448,123007
2015-01-03 14:15:00,1.0,115.0,,123007
2015-01-03 14:20:00,3.0,101.33333333333333,19.55334583474995,123007
2015-01-03 14:25:00,0.0,,,123007
2015-01-03 14:30:00,0.0,,,123007
2015-01-03 14:35:00,3.0,106.0,3.605551275463989,123007
2015-01-03 14:40:00,0.0,,,123007
2015-01-03 14:45:00,2.0,99.0,11.313708498984761,123007
2015-01-03 14:50:00,0.0,,,123007
2015-01-03 14:55:00,2.0,112.0,29.698484809834994,123007
2015-01-03 15:00:00,0.0,,,123007
2015-01-03 15:05:00,0.0,,,123007
2015-01-03 15:10:00,0.0,,,123007
2015-01-03 15:15:00,1.0,109.0,,123007
2015-01-03 15:20:00,0.0,,,123007
2015-01-03 15:25:00,1.0,103.0,,123007
2015-01-03 15:30:00,1.0,67.0,,123007
2015-01-03 15:35:00,1.0,118.0,,123007
2015-01-03 15:40:00,1.0,101.0,,123007
2015-01-03 15:45:00,1.0,104.0,,123007
2015-01-03 15:50:00,5.0,89.2,13.971399357258385,123007
2015-01-03 15:55:00,1.0,77.0,,123007
2015-01-03 16:00:00,1.0,108.0,,123007
2015-01-03 16:05:00,2.0,105.0,29.698484809834994,123007
2015-01-03 16:10:00,0.0,,,123007
2015-01-03 16:15:00,0.0,,,123007
2015-01-03 16:20:00,0.0,,,123007
2015-01-03 16:25:00,0.0,,,123007
2015-01-03 16:30:00,0.0,,,123007
2015-01-03 16:35:00,1.0,87.0,,123007
2015-01-03 16:40:00,1.0,91.0,,123007
2015-01-03 16:45:00,0.0,,,123007
2015-01-03 16:50:00,6.0,96.5,8.04363102087608,123007
2015-01-03 16:55:00,2.0,97.0,21.213203435596427,123007
2015-01-03 17:00:00,4.0,91.25,16.740669042783203,123007
2015-01-03 17:05:00,3.0,104.66666666666667,14.571661996262929,123007
2015-01-03 17:10:00,1.0,109.0,,123007
2015-01-03 17:15:00,0.0,,,123007
2015-01-03 17:20:00,1.0,92.0,,123007
2015-01-03 17:25:00,6.0,82.33333333333333,19.856149341366933,123007
2015-01-03 17:30:00,7.0,74.42857142857143,18.044917501031907,123007
2015-01-03 17:35:00,3.0,72.66666666666667,2.516611478423583,123007
2015-01-03 17:40:00,3.0,83.0,10.535653752852738,123007
2015-01-03 17:45:00,0.0,,,123007
2015-01-03 17:50:00,1.0,68.0,,123007
2015-01-03 17:55:00,6.0,81.66666666666667,17.119190011991417,123007
2015-01-03 18:00:00,4.0,55.5,17.841898254763514,123007
2015-01-03 18:05:00,2.0,92.0,16.97056274847714,123007
2015-01-03 18:10:00,1.0,90.0,,123007
2015-01-03 18:15:00,3.0,80.66666666666667,27.006172134038792,123007
2015-01-03 18:20:00,5.0,82.4,18.29754081837229,123007
2015-01-03 18:25:00,0.0,,,123007
2015-01-03 18:30:00,0.0,,,123007
2015-01-03 18:35:00,1.0,85.0,,123007
2015-01-03 18:40:00,0.0,,,123007
2015-01-03 18:45:00,4.0,85.25,20.838665984174707,123007
2015-01-03 18:50:00,1.0,118.0,,123007
2015-01-03 18:55:00,0.0,,,123007
2015-01-03 19:00:00,0.0,,,123007
2015-01-03 19:05:00,3.0,73.66666666666667,32.715949219506584,123007
2015-01-03 19:10:00,0.0,,,123007
2015-01-03 19:15:00,3.0,88.0,22.271057451320086,123007
2015-01-03 19:20:00,1.0,97.0,,123007
2015-01-03 19:25:00,2.0,91.5,21.920310216782973,123007
2015-01-03 19:30:00,0.0,,,123007
2015-01-03 19:35:00,1.0,86.0,,123007
2015-01-03 19:40:00,1.0,77.0,,123007
2015-01-03 19:45:00,2.0,84.0,35.35533905932738,123007
2015-01-03 19:50:00,1.0,96.0,,123007
2015-01-03 19:55:00,3.0,96.0,18.0,123007
2015-01-03 20:00:00,1.0,113.0,,123007
2015-01-03 20:05:00,2.0,71.0,1.4142135623730951,123007
2015-01-03 20:10:00,2.0,86.5,4.949747468305833,123007
2015-01-03 20:15:00,1.0,117.0,,123007
2015-01-03 20:20:00,2.0,101.5,26.16295090390226,123007
2015-01-03 20:25:00,1.0,69.0,,123007
2015-01-03 20:30:00,1.0,86.0,,123007
2015-01-03 20:35:00,1.0,86.0,,123007
2015-01-03 20:40:00,0.0,,,123007
2015-01-03 20:45:00,0.0,,,123007
